0,1,2,3,4,5,6,7,8,9,10
corriereadriatico.it,,,g.doubleclick.net,,amazon-adsystem.com,".criteo
""criteo
'criteo",,,".pubmatic
""pubmatic",
similarsites.com,adsbygoogle,,,,,,,,,
revcontent.com,,,,,,,taboola com, outbrain,,
couponcode.in,,googleadservices,,,,,,,,
studmed.ru,adsbygoogle,,,,,,,,,
thetruthaboutcars.com,,,g.doubleclick.net,,,,,,"""pubmatic
_pubmatic",
qz.com,,,g.doubleclick.net,,amazon-adsystem.com,,,,,
publika.md,adsbygoogle,,,,,,,,,
vice.com,,,g.doubleclick.net,,,.criteo,,,,
minkabu.jp,,,g.doubleclick.net,,,,,,,
pinkoi.com,,googleadservices,,,,,,,,
asianetbroadband.in,,googleadservices,,,,,,,,
generali.it,,googleadservices,,,,,taboola.com,,,
skylinewebcams.com,adsbygoogle,,,,,,,,,
webcamera.pl,adsbygoogle,,,/ads.,,,,,,
nikkan-spa.jp,adsbygoogle,,g.doubleclick.net,,,,taboola.com,,,
modernmom.com,,,,/ads.,,,,,,
teenport.com,,,,/ads.,,,,,,
pythoncentral.io,adsbygoogle,,,/ads.,,"""criteo",taboola.com,,"""pubmatic",
safaribookings.com,,,g.doubleclick.net,,,,,,,
advance-africa.com,adsbygoogle,,,,,,taboola.com,,,
icrc.org,,googleadservices,g.doubleclick.net,,,,,,,
wound-treatment.jp,,,,,amazon-adsystem.com,,,,,
washingtontimes.com,,,,,amazon-adsystem.com,,,".outbrain
/outbrain",,
vu.lt,,googleadservices,g.doubleclick.net,,,,,,,
15s.vn,adsbygoogle,,,,,,,,,
futbolfantasy.com,adsbygoogle,,g.doubleclick.net,,,,,,,
mydailymoment.com,,,g.doubleclick.net,,,"""criteo",,,"""pubmatic",
orange.es,,googleadservices,g.doubleclick.net,,,.criteo,,,,
di.se,,googleadservices,,,,,,,,
thevideos.tv,,,g.doubleclick.net,,,,,,,
bitrix24.ru,,googleadservices,,,,,,,,
bedava-sitem.com,,,,,,.criteo,,,,
applech2.com,adsbygoogle,,,,,,,,,
pantheon.io,,googleadservices,g.doubleclick.net,,,,,,,
zdnet.com,,,g.doubleclick.net,,amazon-adsystem.com,,,,,
gamestar.de,,googleadservices,g.doubleclick.net,,,.criteo,taboola.com,".outbrain
_outbrain",,
ncaa.com,,,,/ads.,amazon-adsystem.com,.criteo,,,,
lefaso.net,adsbygoogle,,,,,,,,,
themirch.com,adsbygoogle,,,/ads.,,,,,,
calcuworld.com,adsbygoogle,,g.doubleclick.net,,,,,".outbrain
/outbrain",,
ruhrnachrichten.de,,,g.doubleclick.net,,,,," outbrain
	outbrain
.outbrain
/outbrain
(outbrain",,
burnaware.com,adsbygoogle,,,,,,,,,
proxysite.com,adsbygoogle,,,,,,,,,
musicradar.com,,,g.doubleclick.net,,,,taboola.com,,,
skype.com,,googleadservices,g.doubleclick.net,,,,,,,
uberhumor.com,adsbygoogle,,,,,,,,,
